species,n_presence,n_train_presence,n_background,auc,boyce,threshold,sensitivity,specificity,tss,omission_rate,tss_max,fold
Acer platanoides,218,2191,8973,0.7235881957800006,0.9773033040544556,0.49139028787612915,0.5275229357798165,0.7725398417474646,0.30006277752728105,0.47247706422018354,0.34980220989165256,2
Crataegus monogyna,329,2068,8953,0.610099279010924,0.7935980569763977,0.5201413035392761,0.5288753799392097,0.5776834580587512,0.10655883799796095,0.47112462006079026,0.1574914862722825,2
Aesculus hippocastanum,312,2079,8951,0.6781748350707126,0.9899937687690744,0.5039252042770386,0.6442307692307693,0.5882024354820691,0.23243320471283835,0.3557692307692307,0.25111576131015295,2
Cornus mas,312,2075,8972,0.8296955914125999,0.9702737332556786,0.5070559978485107,0.7916666666666666,0.6962773071778867,0.48794397384455346,0.20833333333333337,0.5003543788653018,2
Pinus nigra,284,2089,8996,0.7806178724190407,0.9907716679473224,0.5113921761512756,0.6584507042253521,0.7680080035571365,0.4264587077824886,0.3415492957746479,0.43264455563975224,2
Sorbus aucuparia,193,2176,8991,0.8538953461233254,0.9369203831119668,0.42953988909721375,0.9119170984455959,0.7134912690468246,0.6254083674924205,0.08808290155440412,0.6415626910733416,2
Alnus glutinosa,400,1954,8909,0.6727657425075766,0.6060687245195108,0.516792356967926,0.47,0.7308339881019195,0.20083398810191944,0.53,0.30629082949826025,2
Prunus cerasus,338,2002,8935,0.6261735810571418,0.8317811985068183,0.5189453363418579,0.35798816568047337,0.7564633463905988,0.11445151207107207,0.6420118343195267,0.19705036042688318,2
Salix alba,347,1970,8925,0.7015810589365429,0.9950728013977869,0.5038674473762512,0.6743515850144092,0.6462745098039215,0.3206260948183308,0.32564841498559083,0.32486571573874506,2
Ficus carica,550,1719,8857,0.7688117257023207,0.9724955518257652,0.47968819737434387,0.9254545454545454,0.40566783335215084,0.33112237880669637,0.07454545454545458,0.40398349533496875,2
Taxus baccata,254,2065,8979,0.6254164353745791,0.7471192403038093,0.49468785524368286,0.4763779527559055,0.6517429557857223,0.12812090854162772,0.5236220472440944,0.22217194451094546,2
Aria edulis,225,2086,9008,0.8234630945332544,0.9702224091252698,0.5614621043205261,0.76,0.7351243339253997,0.4951243339253997,0.24,0.5041123939214525,2
Picea abies,135,2168,9014,0.7683693678146751,0.37972737253327143,0.5076617002487183,0.2962962962962963,0.8848457954293322,0.18114209172562834,0.7037037037037037,0.4681318771622743,2
Juniperus communis,345,1949,8966,0.7255907179134056,0.9793244030285382,0.4857121407985687,0.6869565217391305,0.6290430515279947,0.315999573267125,0.31304347826086953,0.3224073553230077,2
Populus alba,309,1937,8949,0.8032265542135387,0.9442283051834596,0.5073806047439575,0.8867313915857605,0.5564867582970164,0.44321814988277697,0.11326860841423947,0.49154919950919285,2
Salix fragilis,227,2028,8940,0.6051119060993998,0.8485547382481613,0.470720112323761,0.29515418502202645,0.8119686800894854,0.10712286511151192,0.7048458149779735,0.1594895978081975,2
Betula pubescens,311,1947,8936,0.7701421613359164,0.9645048471352693,0.5045161247253418,0.5691318327974276,0.7667860340196956,0.3359178668171232,0.43086816720257237,0.4547604688718922,2
