species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Amelanchier canadensis,1018,800,244476,0.843763950317594,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Oxydendrum arboreum,3782,2813,242463,0.8663085109514712,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Halesia carolina,941,742,244534,0.8373444482885269,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Chionanthus virginicus,3696,2511,242765,0.8521712389302847,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Asimina triloba,3685,2691,242585,0.864260683820951,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Diospyros virginiana,3458,2789,242487,0.8174404232008115,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Sassafras albidum,3463,2737,242539,0.8143018280569689,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Aesculus glabra,3695,2311,242965,0.8180355800474226,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Aesculus flava,1638,966,244310,0.8491889705073283,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Aesculus californica,3825,1866,243410,0.9280984096693858,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Aesculus hippocastanum,3056,482,244794,0.8600944886864627,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Robinia pseudoacacia,3580,2431,242845,0.6931853683807496,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Gleditsia triacanthos,0,0,0,,0,0,5,,skip_no_records
Gymnocladus dioicus,3630,1224,244052,0.8815629768711208,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cladrastis kentukea,1269,477,244799,0.8386619270633604,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Maclura pomifera,3748,2482,242794,0.849469646357518,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Morus rubra,3551,2724,242552,0.7985905268076582,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Morus alba,3462,2220,243056,0.8261072574357147,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Catalpa speciosa,3756,2265,243011,0.8041253937351843,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Catalpa bignonioides,1587,1013,244263,0.7664999185221628,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
