species,latitude,longitude,year,country,basis,grid_row,grid_col,n_records
Abies alba,48.269,-2.09395,2021,FR,HUMAN_OBSERVATION,250,1067,1
Abies alba,48.171279,-1.554117,2023,FR,HUMAN_OBSERVATION,250,1070,3
Abies alba,48.24023,0.95263,2023,FR,HUMAN_OBSERVATION,250,1085,4
Abies alba,48.17053,2.97074,1999,FR,HUMAN_OBSERVATION,250,1097,1
Abies alba,48.23239,3.1871,2009,FR,HUMAN_OBSERVATION,250,1099,1
Abies alba,48.21422,3.69951,2021,FR,HUMAN_OBSERVATION,250,1102,2
Abies alba,48.208555,3.948688,2024,FR,HUMAN_OBSERVATION,250,1103,1
Abies alba,48.292144,4.436465,2025,FR,HUMAN_OBSERVATION,250,1106,1
Abies alba,48.18786,5.06098,2023,FR,HUMAN_OBSERVATION,250,1110,2
Abies alba,48.17417,5.26275,2021,FR,HUMAN_OBSERVATION,250,1111,1
Abies alba,48.31119,5.41521,2016,FR,HUMAN_OBSERVATION,250,1112,2
Abies alba,48.2431,5.6381,2009,FR,HUMAN_OBSERVATION,250,1113,1
Abies alba,48.20911,5.87833,2022,FR,HUMAN_OBSERVATION,250,1115,2
Abies alba,48.20498,6.0127,2022,FR,HUMAN_OBSERVATION,250,1116,2
Abies alba,48.18099,6.19947,2021,FR,HUMAN_OBSERVATION,250,1117,1
Abies alba,48.1709,6.49484,2022,FR,HUMAN_OBSERVATION,250,1118,2
Abies alba,48.25585,6.63642,2022,FR,HUMAN_OBSERVATION,250,1119,7
Abies alba,48.23592,6.6887,2021,FR,HUMAN_OBSERVATION,250,1120,7
Abies alba,48.31541,6.96533,2021,FR,HUMAN_OBSERVATION,250,1121,4
Abies alba,48.21412,7.00261,2021,FR,HUMAN_OBSERVATION,250,1122,2
Abies alba,48.23049,7.28142,2021,FR,HUMAN_OBSERVATION,250,1123,24
Abies alba,48.24521,7.354055,2024,FR,HUMAN_OBSERVATION,250,1124,9
Abies alba,48.01084,-4.58903,1999,FR,HUMAN_OBSERVATION,251,1052,1
Abies alba,48.07872,-4.23026,2021,FR,HUMAN_OBSERVATION,251,1054,1
Abies alba,48.04417,-4.05471,1998,FR,HUMAN_OBSERVATION,251,1055,1
Abies alba,48.14748,-3.79401,2016,FR,HUMAN_OBSERVATION,251,1057,2
Abies alba,48.04661,-3.47292,2022,FR,HUMAN_OBSERVATION,251,1059,2
Abies alba,48.08625,-3.01984,2022,FR,HUMAN_OBSERVATION,251,1061,1
Abies alba,48.0916,-2.81046,2016,FR,HUMAN_OBSERVATION,251,1063,1
Abies alba,48.14026,-2.39262,2016,FR,HUMAN_OBSERVATION,251,1065,1
Abies alba,48.04592,-2.30494,2009,FR,HUMAN_OBSERVATION,251,1066,1
Abies alba,48.082871,-1.840506,2023,FR,HUMAN_OBSERVATION,251,1068,1
Abies alba,48.065335,-1.605021,2025,FR,HUMAN_OBSERVATION,251,1070,2
Abies alba,48.09871,-0.96455,1999,FR,HUMAN_OBSERVATION,251,1074,1
Abies alba,48.08254,2.21843,2021,FR,HUMAN_OBSERVATION,251,1093,2
Abies alba,48.069815,3.457308,2024,FR,HUMAN_OBSERVATION,251,1100,3
Abies alba,48.09861,3.5941,1999,FR,HUMAN_OBSERVATION,251,1101,1
Abies alba,48.12,3.66879,2009,FR,HUMAN_OBSERVATION,251,1102,3
Abies alba,48.029448,4.396421,2022,FR,HUMAN_OBSERVATION,251,1106,1
Abies alba,48.154498,4.757704,2023,FR,HUMAN_OBSERVATION,251,1108,3
Abies alba,48.02906,4.93279,2023,FR,HUMAN_OBSERVATION,251,1109,1
Abies alba,48.05625,5.20004,1997,FR,HUMAN_OBSERVATION,251,1111,1
Abies alba,48.10727,5.33397,2009,FR,HUMAN_OBSERVATION,251,1112,1
Abies alba,48.07012,5.70783,2022,FR,HUMAN_OBSERVATION,251,1114,4
Abies alba,48.11928,5.87228,2022,FR,HUMAN_OBSERVATION,251,1115,2
Abies alba,48.020936,6.124692,2024,FR,HUMAN_OBSERVATION,251,1116,10
Abies alba,48.15944,6.30554,2022,FR,HUMAN_OBSERVATION,251,1117,10
Abies alba,48.15483,6.43975,2022,FR,HUMAN_OBSERVATION,251,1118,19
Abies alba,48.040495,6.605798,2024,FR,HUMAN_OBSERVATION,251,1119,12
Abies alba,48.103108,6.69042,2026,FR,HUMAN_OBSERVATION,251,1120,14
Abies alba,48.022878,6.949906,2026,FR,HUMAN_OBSERVATION,251,1121,23
Abies alba,48.115182,7.101627,2026,FR,HUMAN_OBSERVATION,251,1122,18
Abies alba,48.039893,7.270419,2026,FR,HUMAN_OBSERVATION,251,1123,14
Abies alba,47.89949,-4.20794,2021,FR,HUMAN_OBSERVATION,252,1054,1
